Список регионов по ВРП (млрд рублей),Список регионов по ВРП (млрд рублей),Список регионов по ВРП (млрд рублей),Список регионов по ВРП (млрд рублей),Список регионов по ВРП (млрд рублей),Список регионов по ВРП (млрд рублей),Список регионов по ВРП (млрд рублей)
№,Субъект,"2,014.00 ","2,015.00 ","2,016.00 ","2,017.00 ","2,018.00 "
1,Москва,"12 779,5","13 520,9","14 299,8","15 724,9","17 881,5"
2,Ханты-Мансийский автономный округ — Югра,"2 860,5","3 154,1","3 031,2","3,511.00 ","4 447,5"
3,Московская область,"2 742,9","3 180,9","3 565,3","38,030.00 ","4 201,8"
4,Санкт-Петербург,"2 661,2","3 387,4","3 742,2","38,664.00 ","4 193,5"
5,Ямало-Ненецкий автономный округ,"1 633,4","1 791,8","1 963,9","24,614.00 ","3 083,5"
6,Республика Татарстан,"1 661,4","1 867,3","1 937,6","21,142.00 ","2 469,2"
7,Краснодарский край,"1 784,8","1 933,5","2 015,9","22,259.00 ","2 344,6"
8,Красноярский край,"1 410,7","1 667,0","1 767,9","18,823.00 ","2 280,0"
9,Свердловская область,"1 659,8","1 822,8","1 978,1","21,425.00 ","2 277,6"
10,Республика Башкортостан,"1 260,0","1 316,6","1 344,4","13,964.00 ","1 673,7"
11,Самарская область,"1 149,1","1 264,9","1 275,1","13,499.00 ","1 510,5"
12,Челябинская область,"9,939.00 ","1 209,2","1 260,7","13,486.00 ","1 473,7"
13,Ростовская область,"1 007,8","1 189,1","1 270,9","13,471.00 ","1 446,2"
14,Иркутская область,"9,163.00 ","1 001,7","1 068,7","11,921.00 ","1 392,9"
15,Нижегородская область,"1 009,5","1 104,6","1 182,3","12,602.00 ","1 367,5"
16,Пермский край,"9,742.00 ","1 063,8","1 091,3","11,911.00 ","1 318,5"
17,Тюменская область (без округов)[комм. 2],"8,015.00 ","9,057.00 ","9,270.00 ","10,134.00 ","1 259,4"
18,Новосибирская область,"9,112.00 ","1 021,6","1 084,6","11,409.00 ","1 252,3"
19,Кемеровская область — Кузбасс,"7,520.00 ","8,433.00 ","8,581.00 ","10,581.00 ","1 241,6"
20,Сахалинская область,"7,992.00 ","8,375.00 ","7,678.00 ","7,712.00 ","1 179,7"
21,Ленинградская область,"7,033.00 ","8,496.00 ","9,138.00 ","9,658.00 ","1 104,4"
22,Республика Саха (Якутия),"6,581.00 ","7,476.00 ","8,686.00 ","9,166.00 ","1 084,6"
23,Оренбургская область,"7,313.00 ","7,750.00 ","7,721.00 ","8,231.00 ","1 000,6"
24,Воронежская область,"7,177.00 ","8,060.00 ","8,414.00 ","8,652.00 ","9,436.00 "
25,Белгородская область,"6,197.00 ","6,934.00 ","7,306.00 ","7,856.00 ","8,660.00 "
26,Волгоградская область,"7,154.00 ","7,405.00 ","7,433.00 ","7,714.00 ","8,520.00 "
27,Приморский край,"6,424.00 ","7,176.00 ","7,369.00 ","7,778.00 ","8,340.00 "
28,Ставропольский край,"5,408.00 ","6,212.00 ","6,519.00 ","6,654.00 ","7,155.00 "
29,Саратовская область,"5,666.00 ","6,252.00 ","6,551.00 ","6,691.00 ","7,125.00 "
30,Хабаровский край,"5,393.00 ","5,958.00 ","6,377.00 ","6,660.00 ","7,106.00 "
31,Омская область,"6,026.00 ","6,181.00 ","6,259.00 ","6,510.00 ","6,816.00 "
32,Республика Коми,"4,842.00 ","5,284.00 ","5,469.00 ","5,744.00 ","6,657.00 "
33,Тульская область,"4,111.00 ","4,775.00 ","5,177.00 ","5,559.00 ","6,361.00 "
34,Удмуртская Республика,"4,505.00 ","5,180.00 ","5,401.00 ","5,562.00 ","6,311.00 "
35,Республика Дагестан,"5,281.00 ","5,693.00 ","5,971.00 ","6,234.00 ","6,251.00 "
36,Вологодская область,"3,872.00 ","4,789.00 ","4,862.00 ","5,083.00 ","5,826.00 "
37,Липецкая область,"3,985.00 ","4,490.00 ","4,702.00 ","4,980.00 ","5,805.00 "
38,Томская область,"4,303.00 ","4,715.00 ","4,870.00 ","5,110.00 ","5,794.00 "
39,Ярославская область,"3,915.00 ","4,431.00 ","4,698.00 ","5,106.00 ","5,606.00 "
40,Астраханская область,"2,963.00 ","3,223.00 ","3,387.00 ","4,210.00 ","5,534.00 "
41,Алтайский край,"4,460.00 ","4,879.00 ","4,988.00 ","5,088.00 ","5,500.00 "
42,Архангельская область,"3,557.00 ","4,005.00 ","4,279.00 ","4,671.00 ","5,140.00 "
43,Мурманская область,"3,283.00 ","4,016.00 ","4,258.00 ","4,458.00 ","4,825.00 "
44,Калужская область,"3,265.00 ","3,398.00 ","3,734.00 ","4,171.00 ","4,660.00 "
45,Калининградская область,"3,141.00 ","3,498.00 ","3,831.00 ","4,174.00 ","4,609.00 "
46,Тверская область,"3,166.00 ","3,296.00 ","3,593.00 ","3,840.00 ","4,417.00 "
47,Владимирская область,"3,281.00 ","3,685.00 ","3,921.00 ","4,156.00 ","4,405.00 "
48,Курская область,"2,983.00 ","3,370.00 ","3,646.00 ","3,876.00 ","4,284.00 "
49,Пензенская область,"2,952.00 ","3,433.00 ","3,386.00 ","3,652.00 ","4,005.00 "
50,Республика Крым,"1,894.00 ","2,660.00 ","3,159.00 ","3,591.00 ","3,913.00 "
51,Рязанская область,"2,956.00 ","3,231.00 ","3,370.00 ","3,606.00 ","3,831.00 "
52,Ульяновская область,"2,788.00 ","3,045.00 ","3,282.00 ","3,406.00 ","3,479.00 "
53,Кировская область,"2,541.00 ","2,822.00 ","2,910.00 ","3,073.00 ","3,326.00 "
54,Тамбовская область,"2,857.00 ","3,172.00 ","3,114.00 ","3,006.00 ","3,316.00 "
55,Брянская область,"2,427.00 ","2,718.00 ","2,858.00 ","3,077.00 ","3,288.00 "
56,Забайкальский край,"2,348.00 ","2,477.00 ","2,628.00 ","3,007.00 ","3,269.00 "
57,Смоленская область,"2,347.00 ","2,567.00 ","2,623.00 ","2,819.00 ","3,129.00 "
58,Ненецкий автономный округ,"1,870.00 ","2,272.00 ","2,555.00 ","2,765.00 ","3,052.00 "
59,Амурская область,"2,321.00 ","2,774.00 ","2,876.00 ","2,661.00 ","3,011.00 "
60,Чувашская Республика,"2,374.00 ","2,513.00 ","2,616.00 ","2,706.00 ","2,978.00 "
61,Республика Карелия,"1,912.00 ","2,120.00 ","2,334.00 ","2,527.00 ","2,800.00 "
62,Республика Коми,"2,093.00 ","2,341.00 ","2,445.00 ","2,694.00 ","2,620.00 "
63,Камчатский край,"1,458.00 ","1,754.00 ","1,981.00 ","2,016.00 ","2,365.00 "
64,Республика Хакасия,"1,584.00 ","1,704.00 ","1,824.00 ","2,076.00 ","2,353.00 "
65,Орловская область,"1,788.00 ","2,082.00 ","2,139.00 ","2,143.00 ","2,307.00 "
66,Республика Мордовия,"1,739.00 ","1,804.00 ","1,981.00 ","2,133.00 ","2,273.00 "
67,Республика Бурятия,"1,865.00 ","2,028.00 ","1,992.00 ","2,016.00 ","2,261.00 "
68,Курганская область,"1,703.00 ","1,794.00 ","1,939.00 ","2,009.00 ","2,130.00 "
69,Ивановская область,"1,519.00 ","1,805.00 ","1,796.00 ","1,858.00 ","1,978.00 "
70,Чеченская Республика,"1,489.00 ","1,544.00 ","1,667.00 ","1,789.00 ","1,931.00 "
71,Костромская область,"1,467.00 ","1,606.00 ","1,607.00 ","1,659.00 ","1,803.00 "
72,Республика Марий Эл,"1,434.00 ","1,717.00 ","1,605.00 ","1,695.00 ","1,777.00 "
73,Магаданская область,969.00 ,"1,258.00 ","1,469.00 ","1,576.00 ","1,707.00 "
74,Псковская область,"1,238.00 ","1,352.00 ","1,444.00 ","1,516.00 ","1,642.00 "
75,Кабардино-Балкарская Республика,"1,169.00 ","1,205.00 ","1,327.00 ","1,385.00 ","1,457.00 "
76,Республика Северная Осетия — Алания,"1,260.00 ","1,261.00 ","1,255.00 ","1,282.00 ","1,300.00 "
77,Республика Адыгея,756.00 ,843.00 ,914.00 ,994.00 ,"1,084.00 "
78,Севастополь,301.00 ,487.00 ,642.00 ,714.00 ,793.00 
79,Чукотский автономный округ,578.00 ,617.00 ,661.00 ,687.00 ,781.00 
80,Карачаево-Черкесская Республика,653.00 ,675.00 ,732.00 ,747.00 ,770.00 
81,Республика Калмыкия,467.00 ,520.00 ,560.00 ,665.00 ,737.00 
82,Республика Тыва,459.00 ,473.00 ,522.00 ,591.00 ,688.00 
83,Еврейская автономная область,419.00 ,446.00 ,469.00 ,526.00 ,558.00 
84,Республика Ингушетия,519.00 ,501.00 ,509.00 ,556.00 ,555.00 
85,Республика Алтай,392.00 ,422.00 ,461.00 ,446.00 ,506.00 
,всего Россия,,,,,
